x,y,z
13.713221199306059,132.43879037410267,a
56.54317625102681,172.68870520051354,a
7.526216007635487,155.14407480343158,a
23.625171408931152,142.3912271418726,a
66.5428920350493,173.7699303589372,a
18.4104430276826,120.2176317279571,a
12.219885733581364,112.14078074679492,a
55.23157875521763,122.65595769224763,a
50.69499337025543,138.8722234729059,a
66.89509611115622,137.3430314533138,a
28.3886633751033,180.05522484948204,a
67.95479967350737,169.90817309086788,a
113.1272284200133,162.2552973633592,a
42.340104640192266,167.2255825863699,a
23.10315223021604,136.17577448112326,a
34.49741220491869,158.1189902616237,a
81.27971196027453,200.6004186691136,a
117.02042985742644,129.94386336621312,a
98.2768647065891,171.99553950179103,a
76.67291709750494,114.30148879597635,a
70.21998463406857,184.35855877362843,a
93.87480189152443,156.18253193386363,a
82.76983752928,141.78079311315685,a
107.39752667875109,156.58847835012364,a
97.95473970563988,170.56182997535956,a
34.050360028398885,150.02449158230485,a
110.32105931579979,144.86863248509826,a
138.29070240184706,197.09117678740438,a
122.26835714237063,161.72272338384533,a
124.04553379039845,160.79954987925925,a
122.06251865273802,124.33538450317161,a
133.8217238831589,129.89955069972882,a
151.3346123412113,135.61240083030418,a
75.89968721727729,173.4298208132492,a
88.01864696064231,141.68977573925514,a
152.08933649837417,161.99570930813798,a
100.28721918781454,142.0430465084852,a
122.94915448893293,129.44066042532864,a
97.62502093506325,126.11961474032483,a
150.06924583261306,159.07759743916853,a
142.4247142435023,171.70907314752975,a
166.16388658346958,114.12885668481238,a
133.5476145920381,140.97360719944476,a
143.17593596494015,188.04834991697487,a
159.81205056836956,133.6130060022955,a
132.50865863445352,121.43818258799854,a
129.8640951109131,131.46610537451608,a
168.28920576029134,178.04492646224054,a
164.23431776874645,167.06738570710672,a
188.38219274543627,164.20236996539353,a
175.3286975063224,132.7266330182108,a
239.11413016260366,174.36457064033516,a
266.1814702524968,125.15297821527315,a
253.97301539370844,142.4461020170932,a
327.1169675082937,141.88346247271306,a
291.75693121920045,162.0752070495979,a
289.76461082927256,163.0690656984828,a
350.3123948150244,158.5728325222783,a
302.35396363302897,142.58870411132915,a
339.4930713331769,147.02746607686356,a
309.4502166060304,140.28642814244978,a
328.7737826655212,131.11080440724004,a
377.07770227948737,157.12942492223874,a
340.73684693988935,198.96351918785456,a
330.9804689408751,144.72192900252827,a
377.1567102553973,175.09272357957366,a
381.9439608235173,173.76219894239154,a
